Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,btc_close,btc_return_1d,btc_return_7d,btc_vol_30d,corr_btc_30d,beta_btc_30d
2024-01-20,93.62,94.27,90.2,92.88,2799385.87,0,1,-0.007904293954283381,-0.09030362389813906,-0.030985915492957705,-0.009491308520848896,,-0.007935698482288568,,,97.9555,-0.05181434426857098,,,,,,,96.44285902168168,99.63835970273225,0,0,0,31.721606385847565,0,0,-3.195500681050561,-3.1598283807121685,-0.035672300338392304,0,108.49632284813616,87.41467715186384,97.9555,0.2152165595221536,0.2592455506973319,8.99143902478314,0.09680705237707947,53.48730763461947,30.664074705876413,20.407474030117907,1,34.83754512635379,38.23706377858005,5063997.03,,,0,-21562310.62,98.33699870725809,-1037428.0248789475,0.6417204319164505,,,,,,,,,0.04381998277347107,0.0,0.0,0.0,1.0,1.0,1.0,41696.04,0.0008884028264701804,-0.026884574982397047,,,
2024-01-21,92.88,93.93,90.79,91.09,2013751.83,0,1,-0.01927217915589996,-0.035063559322033866,-0.028994776676260492,0.018448121645796123,,-0.019460308632917454,,,97.0145,-0.06106819083745208,,,,,,,95.61934224911528,99.00514787290022,0,0,0,30.550013410081576,0,0,-3.3858056237849468,-3.2050238293267244,-0.1807817944582224,0,106.35352840658209,87.67547159341791,97.0145,0.19252850669914473,0.18280961669286472,8.573479094441488,0.09412096930992961,51.10127189055591,29.861889989198566,19.87360617563399,1,26.75992779783397,33.258122743682335,4527689.4828571435,,,0,-23576062.450000003,97.93677391852913,-1076237.4109222288,0.6395488362218765,,,,,,,,,0.03447140191019871,0.0,0.0,1.0,1.0,1.0,1.0,41580.33,-0.00277508367701107,-0.00364273758846545,,,
2024-01-22,91.08,91.9,82.06,83.84,7065444.82,0,1,-0.07959161269074544,-0.10446485793633842,-0.1114879186095803,-0.14344094809971386,,-0.08293780818398647,,,95.86999999999999,-0.12548242411599028,,,,,,,93.80713574925139,97.88180358601872,0,0,0,26.3113042125795,0,1,-4.074667836767333,-3.3789526308148465,-0.695715205952486,0,105.78821078940943,85.95178921059055,95.86999999999999,0.20690958150431718,-0.10646019001962982,8.663944873409955,0.10333903713513781,47.718632866623594,27.4393627242182,25.458687510901512,1,7.046714172604916,22.88139569893089,5021898.984285714,,,0,-30641507.270000003,96.53980984104727,-1638587.5585235024,0.7860337197082454,,,,,,,,,0.1173664122137405,-0.00010978153474591191,1.0,1.0,1.0,1.0,1.0,39568.02,-0.048395719803089654,-0.06923085970487708,,,
2024-01-23,83.84,86.0,79.0,84.35,8284305.33,0,1,0.006083015267175362,-0.09183893195521109,-0.13584673701465022,-0.15106682769726254,,0.006064588419245066,,,95.1615,-0.11361212254956057,,,,,,,92.35219178782809,96.87944776483215,0,0,0,27.07778089285351,0,1,-4.52725597700406,-3.6086133000526894,-0.9186426769513707,0,106.23931334113608,84.08368665886393,95.1615,0.2328213267158689,0.012020122245025902,8.545091668166387,0.10130517686030098,44.404706545235385,25.833799917534687,26.5268795743871,1,18.891242937853093,17.565961636097327,5667044.305714286,,,0,-22357201.940000005,95.51683794790341,-1588194.0027231702,0.7260616428727193,,,,,,,,,0.08298755186721993,0.0,1.0,1.0,1.0,1.0,1.0,39897.6,0.008329453937801379,-0.07511599415363968,,,
2024-01-24,84.36,89.47,83.3,88.77,6058894.15,0,1,0.052400711321873183,-0.025469316061038638,-0.1305582761998041,-0.12970588235294123,,0.0510739460882507,,,94.3545,-0.05918636631003297,,,,,,,91.80108535893146,96.27874793040014,0,0,0,33.53069643848045,0,0,-4.477662571468684,-3.7824231543358886,-0.6952394171327958,0,104.77415041337002,83.93484958662998,94.3545,0.22086175886407158,0.2320207598887277,8.37544226329736,0.09434991847805971,41.54585108131955,27.433761947778155,25.131039878245208,1,34.49858757062146,20.145514893693157,5542271.107142857,,,0,-16298307.790000005,94.65065432097286,-1270703.639439234,0.749829093354937,,,,,,,,,0.0695054635575082,0.00011855364552466054,1.0,1.0,1.0,1.0,1.0,40084.88,0.004694016682707636,-0.06291410390381547,,,
2024-01-25,88.77,89.64,85.09,86.91,4002698.2,0,1,-0.020953024670496756,0.03661736641221358,-0.07934322033898311,-0.1300300300300301,,-0.021175654630859218,,,93.703,-0.07249501083209722,,,,,,,91.04861068832662,95.58476660222236,0,0,0,32.23787693214989,0,0,-4.53615591389574,-3.933169706247859,-0.6029862076478811,0,104.28040411891013,83.12559588108988,93.703,0.22576447112493994,0.17889096778218092,8.102196387347549,0.09322513390113392,38.911426608068666,26.483194157201126,24.12296903301314,1,32.16754778365187,28.519126097375477,5225988.992857143,,,0,-20301005.990000006,94.09146239980588,-1354572.273572387,0.6318855287787056,,,,,,,,,0.05235300885973993,0.0,1.0,1.0,1.0,1.0,1.0,39961.09,-0.003088196846292135,-0.03306297259693913,,,
2024-01-26,86.9,93.72,85.96,92.28,4693818.55,0,1,0.061788056610286635,0.09401304090100782,-0.01431318094424272,0.0017368649587494733,,0.05995433285618432,,,93.6285,-0.014402665854948028,,,,,,,91.23805519781484,95.33996907613182,0,0,0,39.49154101788753,0,0,-4.101913878316978,-3.966918540661683,-0.1349953376552948,0,104.22488920625919,83.03211079374081,93.6285,0.22634965221613482,0.43636983439587823,8.077753788251297,0.08753525995070759,36.94935681340489,28.27374154599406,22.46768001682607,1,54.005693371289134,40.22394290852082,4988328.392857143,,,0,-15607187.440000005,93.90863509430413,-1064550.3472865734,0.7662342093592239,,,,,,,,,0.08409189423493721,-0.00011506155793338977,1.0,1.0,1.0,1.0,1.0,41823.51,0.04660583582680067,0.003948243634093407,,,
2024-01-27,92.29,94.5,90.68,94.28,2735837.45,0,1,0.02167316861725177,0.06207051931959007,0.015073212747631404,-0.016379760041731806,,0.021441644762377376,,,93.87049999999999,0.00436239287102986,,,,,,,91.70604670584333,95.26145284827021,0,0,0,41.98251794652827,0,0,-3.5554061424268752,-3.884616061014722,0.32920991858784676,1,104.28361010722844,83.45738989277154,93.87049999999999,0.221861183379836,0.5196627134344689,7.773628517661918,0.0824525723129181,35.21869564836988,27.99803197744147,21.67905640790379,1,62.13908092720617,49.43744069404906,4979250.047142857,,,0,-12871349.990000006,94.01461983529687,-1005256.0809233313,0.7769705541575125,,,,,,,,,0.040517607127704636,0.00010836584308631465,1.0,1.0,1.0,1.0,1.0,42120.63,0.007104138318376307,0.010182981405428393,,,
2024-01-28,94.27,99.44,93.31,95.98,5618408.23,0,1,0.018031395842172282,0.10436083304567956,0.053683170490723464,0.0231318622748109,,0.01787075836216913,,,93.7755,0.02350827241656947,,,,,,,92.36357798186745,95.31467856321315,0,0,0,44.08945213149328,0,0,-2.951100581345699,-3.697912965080918,0.746812383735219,0,104.06856864376523,83.48243135623476,93.7755,0.21952575339540156,0.6070866267532049,7.656226480686066,0.07976897771083628,34.17016009711669,31.005593999873373,20.43923810804689,1,69.05246034973567,61.73241154941033,5494200.961428572,,,0,-7252941.760000005,94.09812285438454,-903948.3381252828,0.765589525906617,,,,,,,,,0.06386747239008121,-0.0001060670343657734,1.0,1.0,0.0,1.0,1.0,42031.06,-0.0021265114030820653,0.010839981308469637,,,
2024-01-29,95.99,101.98,95.06,101.68,5772519.82,0,1,0.05938737236924352,0.10186389250108374,0.2127862595419847,0.0775752437473507,,0.05769079045109908,,,93.8915,0.08295213091706932,,,,,,,93.79687367696476,95.78618385482699,0,0,0,50.57107655590371,0,0,-1.9893101778622224,-3.356192407637179,1.3668822297749568,0,104.4971078016352,83.28589219836479,93.8915,0.22591198993807113,0.8671878192025525,7.603638874922776,0.07478008334896515,33.46476545146235,31.376105410543904,19.110555411001478,1,92.23261488409925,74.47471872034703,5309497.390000001,,,0,-1480421.940000005,93.93811976105215,-561133.5540661041,0.4796928263675082,,,,,,,,,0.06805664830841858,0.00010418837257752558,0.0,0.0,0.0,1.0,1.0,43302.7,0.03025476873531141,0.09438632511811318,,,
