Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,n50_close,n50_return_1d,n50_return_7d,n50_vol_30d,corr_n50_30d,beta_n50_30d
2021-01-28,1665.426535627085,1685.3444610531726,1664.4666356065509,1676.513427734375,8518.0,0,1,-0.009695810581474618,-0.018433708995355236,-0.02498187902929816,-0.0494190062516594,,-0.009743121009899889,,,1725.3340270996093,-0.028296317465728478,,,,,,,1714.66199791373,1710.104854821005,0,0,0,46.024030272108206,0,0,4.557143092725028,13.816180264955907,-9.25903717223088,0,1801.0334046535231,1649.6346495456955,1725.3340270996093,0.08775040237416405,0.17753632233987757,48.09277667162275,0.028686186388984007,49.15203503761256,15.59690269467297,16.201747769575793,1,7.606085042239513,8.425924079299435,72174.71428571429,,,0,694045.0,1742.9886392853814,16287.173342748367,0.1497479863447757,,,,,,,,,0.012453121520676295,-0.016244756459181,1.0,1.0,1.0,1.0,1.0,510.3815002441406,-0.0018524973112856724,-0.034427394621858065,,,
2021-01-29,1684.9126666297238,1697.1033508431476,1665.954639944683,1681.0250244140625,97360.0,0,1,0.0026910590783542077,-0.015792256116940573,-0.029294449726445015,-0.05689590607582551,,0.0026874446618261423,,,1726.274725341797,-0.02621234051768624,,,,,,,1709.4870789137813,1707.9507933093794,0,0,0,47.46244016921443,0,0,1.5362856044018827,11.360201332845103,-9.82391572844322,0,1799.0837188512942,1653.4657318322998,1726.274725341797,0.08435388926299811,0.1892574753019207,46.88248625925431,0.027889225667890132,45.91178487319542,16.64826326677244,15.432859431350675,1,11.423903426965637,8.345649020099357,34062.142857142855,,,0,791405.0,1741.1186910917036,16549.174854616933,0.1383284422000331,,,,,,,,,0.01852959381691638,0.005009944302503738,1.0,1.0,1.0,1.0,1.0,505.1964416503906,-0.010159182084910512,-0.07334247847015507,,,
2021-02-01,1681.0250053346665,1752.633527451621,1670.8500879808346,1747.30615234375,27982.0,0,1,0.039428995384997556,0.03212093278678885,0.0050797705986158626,-0.008118994133363922,,0.03867151947499595,,,1730.2175170898438,0.00987658203960887,,,,,,,1715.3053979030071,1710.866005089703,0,0,0,63.04401365792423,0,0,4.439392813304039,9.97603962893689,-5.536646815632851,0,1798.2240290472728,1662.2110051324148,1730.2175170898438,0.07861036116639623,0.6256396980380601,49.375411488649455,0.02825801959342942,44.42303054768047,22.711815525021287,13.606976166914244,1,57.152338318868296,25.394108929357817,27998.85714285714,,,0,819387.0,1741.3758780250776,17652.477003479933,0.2940498047813177,,,,,,,,,0.046805443545818275,-1.1349858402003119e-08,1.0,1.0,1.0,1.0,1.0,535.6588134765625,0.06029807281828137,0.0005587520163696791,,,
2021-02-02,1732.667832218076,1775.8152975782994,1732.667832218076,1771.3997802734375,26509.0,0,1,0.013789013389193139,0.05659743069716483,0.017029611678961887,-0.00202788100842366,,0.013694809938003264,,,1734.7890502929688,0.021103851199825094,,,,,,,1723.9353028830735,1715.3499884366465,0,0,0,66.8883329696995,0,0,8.585314446426992,9.69789459243491,-1.112580146007918,0,1800.8373669286204,1668.7407336573172,1734.7890502929688,0.07614564620925812,0.777151120916736,48.930558193761875,0.027622538254017868,43.52470099101828,24.665341659716297,12.749921139060264,1,73.77492653524895,47.45038942702763,28692.714285714286,,,0,845896.0,1743.0590086365667,18018.009959414056,0.30436447756239077,,,,,,,,,0.02435783601235572,-0.008377650422645672,1.0,1.0,1.0,1.0,1.0,562.581298828125,0.05026051037381185,0.07099461338277901,,,
2021-02-03,1785.4142047000205,1820.7385756201215,1753.7375010682458,1796.1650390625,24001.0,0,1,0.013980615254022277,0.06849393255675684,0.051620002714423574,0.02014444632099499,,0.013883787879770305,,,1740.1236877441406,0.03220538385464437,,,,,,,1735.0475699876008,1721.336288483006,0,0,0,70.30740439503829,1,0,13.711281504594808,10.50057197486689,3.210709529727918,1,1807.9711043605676,1672.2762711277137,1740.1236877441406,0.07797999313989326,0.9129954691951446,50.221309362198575,0.027960297784445996,43.463516154474085,28.704212587581168,11.534929751628404,1,84.27514462578019,71.73413649329915,29922.428571428572,,,0,869897.0,1745.1224667154736,18353.558706125845,0.26678237063629395,,,,,,,,,0.03730229299354731,0.007911497214039222,1.0,1.0,1.0,1.0,1.0,564.9744262695312,0.004253833972780896,0.10254918629216969,,,
2021-02-04,1785.6061842653107,1987.473229526888,1785.6061842653107,1918.3123779296875,246417.0,1,0,0.06800451863317725,0.09786849623150373,0.1231349147840386,0.0917209963170742,,0.06579197145899399,,,1747.9540710449219,0.09746154644837203,,,,,,,1763.242155824845,1735.9271099235011,0,0,0,80.82455981812684,1,0,27.315045901343865,13.863466760162286,13.451579141181579,0,1852.5079729080371,1643.4001691818066,1747.9540710449219,0.1196300333001464,1.3146912924770768,61.053147640725626,0.03182648891971203,44.99665629524705,41.43203513641117,8.81069652645367,1,78.58840875110508,78.87949330404474,62925.857142857145,,,0,1116314.0,1768.888507322705,35111.02817415749,0.4327408830173827,,,,,,,,,0.10523158145882346,-0.005878554903117597,1.0,1.0,1.0,1.0,1.0,588.0081787109375,0.04076954879797978,0.1474996191448812,,,
2021-02-05,1943.7977847477923,1991.552816743448,1876.7007414836585,1938.08642578125,129459.0,1,0,0.010308043715436588,0.09409882927843793,0.14481344148854558,0.12194388063110306,,0.010255278129680665,,,1756.6747741699219,0.10326991329231686,,,,,,,1790.1412742796765,1750.9018740611123,0,0,0,81.93980128117137,1,0,39.23940021856424,18.938653451842676,20.300746766721566,0,1891.4704844891235,1621.8790638507203,1756.6747741699219,0.1534668935892204,1.1729132966536477,64.89592818494448,0.03348453780062191,46.4456558205593,36.643492907912275,7.696905779539217,1,83.65372979795183,82.17242772494569,80035.14285714286,,,0,1245773.0,1783.0005090348684,36445.49720551419,0.39943642893751125,,,,,,,,,0.05926055398354701,0.013285326785833284,1.0,1.0,1.0,1.0,1.0,593.641845703125,0.009580933048478846,0.1609788471891147,,,
2021-02-08,1993.7125426516784,2325.694091796875,1989.7768584324376,2325.694091796875,818077.0,1,0,0.19999503678448138,0.294810911702613,0.38722067674685845,0.35256529761342725,,0.18231742077246912,,,1783.8375549316406,0.30375890190628885,,,,,,,1872.5340154361686,1793.4790753748725,0,0,0,91.89302596363035,1,0,79.05494006129607,30.961910773733358,48.09302928756271,0,2072.0881144398068,1495.5869954234743,1783.8375549316406,0.3231802791809846,1.4399054381538563,87.94676660142166,0.03781527713022323,48.961144588442906,52.2461364867027,5.273865602559879,1,100.0,87.41404618301897,195686.42857142858,,,0,2063850.0,1941.5394037514966,200056.83691305236,1.0092615169834833,,,,,,,,,0.14443741098593987,0.028701566726058312,0.0,0.0,0.0,0.0,0.0,626.4973754882812,0.05534571058790716,0.22750800173712538,,,
2021-02-09,2385.303815396246,2411.6530274726647,2214.537673559446,2241.270751953125,351948.0,1,0,-0.03630027704052985,0.1683554658454458,0.333276256690076,0.2942186624170058,,-0.036975523600841845,,,1807.8206604003906,0.23976387760538992,,,,,,,1929.2627441310851,1826.6488291954838,0,0,0,81.37386540069959,1,0,102.61391493560131,45.29231160610695,57.321603329494366,0,2160.8279056679285,1454.8134151328527,1807.8206604003906,0.3905334782371111,1.113939370032236,95.7445228379786,0.04271885614647107,51.448370896565415,50.975924239920424,4.498319646714065,1,77.19681763823263,86.95018247872815,232056.14285714287,,,0,1711902.0,1996.292799570689,187281.02700919195,1.1054726832583324,,,,,,,,,0.08794803293687087,0.0256309390859378,0.0,1.0,1.0,0.0,0.0,628.04296875,0.0024670386855398796,0.24316585979562855,,,
2021-02-10,2225.04835786888,2326.7497232145524,2211.945815679479,2292.38525390625,169577.0,0,1,0.022806036222344783,0.18280858036667835,0.3119539760283896,0.3186184012625559,,0.022549866081876292,,,1833.689959716797,0.2501487733838582,,,,,,,1985.1277456349567,1861.1478236185037,0,0,0,82.66753992988957,1,0,123.97992201645297,61.029833688176154,62.95008832827682,0,2247.213518713278,1420.1664007203156,1833.689959716797,0.45102887410731923,1.0546180915333971,97.10590745919966,0.04236020419941636,53.70884615073672,46.67117267972045,4.3091014360300575,1,84.03774816233727,87.07818860018996,252284.0,,,0,1881479.0,2016.7613518564851,191148.40621366852,1.111172117696098,,,,,,,,,0.05008054703695477,-0.007238034079598924,0.0,0.0,0.0,0.0,0.0,648.8331909179688,0.03310318433999471,0.21128071562358075,,,
