Date,Open,High,Low,Close,Volume
2024-01-01,164.9,169.7,163.2,169.5,36632.172
2024-01-02,169.6,174.3,167.0,167.4,93331.951
2024-01-03,167.4,169.8,146.8,154.1,151519.841
2024-01-04,154.0,165.0,149.0,164.8,151118.451
2024-01-05,164.8,165.1,151.2,155.8,111404.35
2024-01-06,155.7,158.8,150.0,152.6,86556.978
2024-01-07,152.6,155.3,144.6,146.1,80321.406
2024-01-08,146.1,154.4,143.2,147.8,150972.165
2024-01-09,147.7,148.8,142.7,144.4,104763.234
2024-01-10,144.4,151.7,143.5,149.0,90985.01
2024-01-11,149.1,154.7,148.1,152.7,131778.937
2024-01-12,152.6,162.4,149.0,152.0,130060.265
2024-01-13,151.9,156.8,148.2,155.8,55113.732
2024-01-14,155.8,160.0,153.0,154.1,62341.982
2024-01-15,154.2,159.0,152.6,157.2,81148.821
2024-01-16,157.3,160.2,153.6,157.4,78187.304
2024-01-17,157.4,160.9,155.0,157.8,94994.566
2024-01-18,157.8,165.0,151.8,153.2,94672.44
2024-01-19,153.2,159.0,149.9,158.4,60195.235
2024-01-20,158.4,159.6,155.9,156.7,47049.098
2024-01-21,156.6,163.5,155.1,157.6,95544.514
2024-01-22,157.6,160.3,149.1,150.7,109556.058
2024-01-23,150.7,154.9,146.5,150.5,72101.275
2024-01-24,150.4,155.9,148.8,152.6,72021.633
2024-01-25,152.6,158.0,152.0,157.2,78114.83
2024-01-26,157.3,162.4,155.8,159.3,92297.502
2024-01-27,159.4,162.4,157.4,160.4,55022.266
2024-01-28,160.3,162.8,158.6,160.7,54781.692
2024-01-29,160.7,169.9,159.8,168.0,103717.095
2024-01-30,168.0,172.2,159.7,160.3,100642.176
2024-01-31,160.3,167.0,158.3,163.7,98756.563
2024-02-01,163.7,170.0,163.5,166.3,94067.092
2024-02-02,166.3,171.3,165.3,169.0,74599.793
2024-02-03,169.0,170.0,162.4,165.5,53371.299
2024-02-04,165.5,168.0,164.9,165.9,39681.348
2024-02-05,165.8,168.2,163.4,165.4,56093.031
2024-02-06,165.4,166.8,100.4,105.4,749041.48
2024-02-07,105.4,135.0,103.4,129.6,464226.094
2024-02-08,129.5,132.0,117.7,128.7,166551.919
2024-02-09,128.7,129.4,119.6,121.5,123612.894
2024-02-10,121.6,123.8,115.0,119.3,124814.491
2024-02-11,119.3,123.2,115.0,120.7,122450.943
2024-02-12,120.6,128.9,118.0,126.3,119313.873
2024-02-13,126.3,129.2,122.1,127.8,139732.431
2024-02-14,127.8,131.9,126.2,128.1,101081.926
2024-02-15,128.0,129.2,123.3,125.7,104032.344
2024-02-16,125.7,129.2,120.2,122.5,71072.945
2024-02-17,122.6,122.7,118.0,121.3,52344.936
2024-02-18,121.2,123.4,118.7,121.9,49290.176
2024-02-19,122.1,123.4,108.5,112.5,96765.61
2024-02-20,112.4,119.6,110.4,118.7,7079.917
2024-02-21,123.88459014892578,125.53594207763672,116.75477600097656,123.04864501953125,50491156.0
2024-02-22,123.11486053466797,124.81736755371094,121.2607421875,124.04315948486328,102663823.0
2024-02-23,124.03617095947266,124.58773803710938,120.89990234375,123.8436279296875,93773418.0
2024-02-24,123.78678894042969,125.14173889160156,122.09519958496094,123.87924194335938,92062852.0
2024-02-25,123.89410400390625,129.35189819335938,123.05601501464844,129.17430114746094,597868068.0
2024-02-26,129.17491149902344,129.8892822265625,128.42227172851562,129.61328125,53208623.0
2024-02-27,129.60018920898438,130.3502960205078,129.59671020507812,130.0612030029297,72506717.0
2024-02-28,130.072998046875,139.9464874267578,130.00927734375,133.8922882080078,65006893.0
2024-02-29,133.822509765625,141.0065155029297,133.2176513671875,137.17356872558594,66793524.0
2024-03-01,137.1350860595703,145.03184509277344,136.4213104248047,142.98512268066406,67209799.0
2024-03-02,142.87942504882812,145.17453002929688,140.14483642578125,144.6387481689453,56078732.0
2024-03-03,144.98194885253906,151.74342346191406,143.78895568847656,150.08303833007812,65555314.0
2024-03-04,150.55551147460938,151.11746215820312,143.59201049804688,150.0133056640625,74473323.0
2024-03-05,150.0721435546875,151.004638671875,134.51046752929688,141.4462127685547,85810399.0
2024-03-06,141.45748901367188,151.53488159179688,138.6387481689453,143.92916870117188,87199566.0
2024-03-07,143.92916870117188,148.74871826171875,138.27490234375,144.28152465820312,75104195.0
2024-03-08,144.28143310546875,150.9989471435547,143.21566772460938,147.3660888671875,63772091.0
2024-03-09,147.3660888671875,148.946533203125,143.748291015625,143.8351593017578,49472434.0
2024-03-10,143.83567810058594,148.5636444091797,142.3996124267578,146.60830688476562,52976238.0
2024-03-11,146.6046142578125,146.832763671875,142.6209716796875,145.20530700683594,74690585.0
2024-03-12,145.20530700683594,147.2506866455078,142.8503875732422,145.11422729492188,70751333.0
2024-03-13,145.11422729492188,150.5049285888672,144.4173583984375,150.22093200683594,67768461.0
2024-03-14,150.22166442871094,151.05618286132812,140.719482421875,146.6106719970703,69695577.0
2024-03-15,146.6106719970703,147.46328735351562,138.77484130859375,142.0350799560547,68320297.0
2024-03-16,142.0350799560547,148.72024536132812,135.0897216796875,139.5149688720703,52162541.0
2024-03-17,139.5149688720703,145.21580505371094,136.6092529296875,140.99462890625,52806847.0
2024-03-18,140.99462890625,141.6734161376953,136.63185119628906,141.03848266601562,50287932.0
2024-03-19,141.03848266601562,141.35015869140625,128.61297607421875,133.99168395996094,55669001.0
2024-03-20,133.99168395996094,142.71876525878906,129.3133544921875,139.61077880859375,59442114.0
2024-03-21,139.61077880859375,144.3041534423828,137.72125244140625,138.21041870117188,58439916.0
2024-03-22,138.21041870117188,140.75100708007812,131.27476501464844,134.7832489013672,45802437.0
2024-03-23,134.7832489013672,139.92782592773438,133.60421752929688,138.9109344482422,42375980.0
2024-03-24,138.9109344482422,143.72979736328125,138.8507537841797,141.8865966796875,46383807.0
2024-03-25,141.8865966796875,143.42018127441406,139.9115447998047,142.5869140625,46518086.0
2024-03-26,142.5869140625,143.6093292236328,133.45204162597656,135.3273468017578,73114758.0
2024-03-27,135.3273468017578,141.34169006347656,134.2122802734375,137.9178466796875,68147773.0
2024-03-28,137.9178466796875,139.89993286132812,134.9119415283203,135.064208984375,50342353.0
