Date,Open,High,Low,Close,Volume
2021-01-01,2411.814233145425,2455.6379253517016,2411.814233145425,2450.235595703125,32142
2021-01-04,2459.415737894575,2576.530773032412,2455.788912816064,2546.72314453125,181968
2021-01-05,2547.8186694622664,2621.1100131567623,2535.3515852255737,2605.62060546875,126841
2021-01-06,2605.6205150101555,2629.4213113630103,2518.577639527596,2542.49169921875,65935
2021-01-07,2567.6529631021394,2584.086848763133,2500.9729442707517,2512.419921875,54859
2021-01-08,2545.1365332971973,2545.1365332971973,2497.610566838883,2525.45361328125,103532
2021-01-11,2576.531004184685,2591.566991096392,2516.1223449537797,2533.462890625,120399
2021-01-12,2545.552004248265,2670.9784312904767,2518.3510923595923,2617.8232421875,236200
2021-01-13,2642.2663917603854,2676.267532060419,2615.0654795203586,2630.40380859375,107329
2021-01-14,2650.6534548131744,2656.206863801298,2584.0867030896607,2598.78271484375,44550
2021-01-15,2617.2566463390745,2617.2566463390745,2535.3895652344045,2553.71240234375,45784
2021-01-18,2561.4188943773715,2561.4188943773715,2458.735538151023,2499.763427734375,69955
2021-01-19,2523.639900226782,2572.7526527761056,2497.1945719309924,2540.942626953125,43406
2021-01-20,2553.863571588879,2580.6110630189105,2503.1263853665555,2527.4560546875,55328
2021-01-21,2544.7208434081754,2568.9372481856517,2523.6402100515293,2531.158203125,59441
2021-01-22,2531.195941814297,2559.908015184131,2482.083184734318,2504.486083984375,43624
2021-01-25,2531.1958263397696,2531.1958263397696,2468.482616314038,2505.46826171875,42369
2021-01-27,2480.9119579562544,2524.0556991986937,2425.4145802336025,2458.546875,76931
2021-01-28,2434.406212176027,2481.2900474631288,2426.208269471344,2470.7119140625,17738
2021-01-29,2510.7197580955612,2510.7197580955612,2418.6145179983496,2431.875,78976
2021-02-01,2431.4593342399207,2478.8720356766994,2405.0140027612388,2454.99560546875,38306
2021-02-02,2485.105638741979,2515.328875455168,2425.4525621729217,2478.909912109375,32943
2021-02-03,2493.228286190599,2528.9294867429157,2457.1492951562477,2497.308349609375,37822
2021-02-04,2509.8507012482187,2526.6623752461933,2479.060781454175,2493.605712890625,16158
2021-02-05,2511.550497170264,2512.2304460808687,2479.8161046067407,2488.203125,18239
2021-02-08,2508.5283858148705,2529.6846493096946,2440.5261102957925,2446.419677734375,60437
2021-02-09,2466.1783110263104,2469.049555420667,2426.9259190608773,2441.244140625,26432
2021-02-10,2450.1976722155487,2453.4843383059588,2405.9583755624535,2416.196533203125,68172
2021-02-11,2418.6145367854765,2439.01522172556,2410.3031466247016,2430.666015625,19425
2021-02-12,2440.526325238527,2440.526325238527,2410.303089012663,2414.60986328125,28282
2021-02-15,2438.6371303255555,2447.288493940784,2389.146585930103,2394.057861328125,50776
2021-02-16,2395.1913283853064,2410.416208941004,2358.1678662115273,2368.519287109375,53701
2021-02-17,2379.3243123233606,2380.004261362802,2315.8555151702444,2335.16064453125,69727
2021-02-18,2357.4119995791143,2357.4119995791143,2304.5213457424034,2319.40625,78656
2021-02-19,2331.533586478388,2331.533586478388,2300.0637181520497,2304.030517578125,26720
2021-02-22,2322.655371250011,2366.6301367659003,2214.6451331533026,2245.510498046875,158730
2021-02-23,2270.4447617043575,2284.4230070558147,2251.970847309135,2271.502685546875,27359
2021-02-24,2294.321131071266,2303.5391800657235,2262.9645274356794,2295.15234375,17567
2021-02-25,2305.0882991583358,2380.0796992047062,2270.596106828483,2281.060791015625,134862
2021-02-26,2270.898329903632,2310.5663260174038,2253.255442606788,2299.68603515625,37277
2021-03-01,2304.5215401298965,2394.2467640283967,2304.5215401298965,2382.157470703125,85714
2021-03-02,2395.1911318288335,2454.6931197252125,2395.1911318288335,2416.234130859375,89148
2021-03-03,2422.468006633795,2516.084406718184,2404.447328311994,2439.12841796875,101246
2021-03-04,2444.3041720282495,2478.3053119791834,2410.3030320773155,2457.41357421875,42301
2021-03-05,2478.040748920332,2478.040748920332,2414.0809014835577,2420.9189453125,93581
2021-03-08,2478.3051625708017,2478.3051625708017,2398.969174134846,2430.552490234375,118220
2021-03-09,2439.015228209422,2449.7822564008666,2417.8589622893896,2434.0283203125,70687
2021-03-10,2437.6550244021655,2471.278373924099,2411.8141949216038,2419.030029296875,30154
2021-03-12,2414.0808020191967,2448.081940075805,2383.8575681911,2413.363037109375,44753
2021-03-15,2417.934440113702,2430.2502608437776,2354.012224083695,2379.890869140625,51716
2021-03-16,2379.8906375850875,2489.298774906436,2379.8906375850875,2461.34228515625,240323
2021-03-17,2482.234035695554,2599.197981768742,2380.835128067821,2423.072021484375,487790
2021-03-18,2463.1937866895737,2474.5275004320106,2309.206359082068,2357.03466796875,96127
2021-03-19,2361.1902658487083,2478.305303034804,2283.7432251288706,2421.75,119891
2021-03-22,2436.7485973969597,2459.8316326317945,2404.5607746953037,2434.8974609375,57361
2021-03-23,2435.2371589452796,2490.772353230876,2411.9274151756267,2419.672119140625,68753
2021-03-24,2417.858488951899,2459.377615798277,2406.5247772849366,2412.87158203125,46789
2021-03-25,2425.5655016267683,2425.5655016267683,2356.656568016015,2379.437255859375,36078
2021-03-26,2386.879918115225,2409.3584485248252,2321.0687519355547,2360.5478515625,75736
2021-03-30,2361.190272006149,2831.1615837462527,2346.4186287708803,2536.296142578125,381370
2021-03-31,2531.195959001134,2542.794199346738,2410.3030176757065,2417.0654296875,248064
2021-04-01,2440.5261853764555,2470.7494198702816,2406.5250465709014,2424.734619140625,110273
2021-04-05,2440.526227260915,2448.0820360140447,2397.0425109930557,2414.912109375,103398
